Vegetation Cover,NO3,NH4,P,K,SO4,B,Organic Matter,pH,Zn,Cu,Fe,Ca,Mg,Na
100,68,16,185,260,58,2.9,6.7,6.8,8.2,4.7,37,23,8.2,0.07
100,65,15,180,250,55,2.8,6.5,6.7,8.0,4.5,35,22,8.0,0.08
99,70,17,182,255,56,2.8,6.6,6.9,8.1,4.6,36,22,8.0,0.08
98,62,14,175,245,52,2.7,6.4,6.6,7.8,4.3,34,21,7.8,0.09
97,66,15.5,178,248,54,2.75,6.3,6.65,7.9,4.4,35,21.5,7.9,0.085
95,48,12,125,185,42,1.9,4.5,6.4,5.8,3.0,27,16,5.8,0.14
94,45,10,120,180,40,1.8,4.2,6.5,5.5,2.8,25,15,5.5,0.15
93,50,11,128,188,43,1.95,4.6,6.45,5.9,3.1,28,16.5,5.9,0.135
90,55,13,140,200,48,2.2,5.2,6.5,6.5,3.5,30,18,6.5,0.12
88,40,8,110,165,35,1.6,3.8,6.2,5.0,2.5,22,13,5.0,0.19
85,35,7,95,145,30,1.4,3.5,6.8,4.2,2.1,19,11,4.2,0.22
82,28,6,78,115,25,1.1,3.0,7.0,3.2,1.6,15,9,3.2,0.26
78,22,4,65,95,18,0.8,2.5,7.1,2.3,1.1,11,7,2.3,0.31
75,18,3,55,80,15,0.7,2.2,7.2,1.9,0.9,9,6,1.9,0.35
70,15,2.5,45,68,12,0.5,1.8,7.4,1.4,0.7,7,5,1.4,0.45
65,11,1.8,38,55,9,0.4,1.5,7.6,1.0,0.5,5.5,4,1.0,0.58
60,9,1.5,30,48,8,0.35,1.2,7.7,0.8,0.4,4.5,3.5,0.8,0.72
55,7,1.2,25,40,6,0.28,1.0,7.8,0.6,0.3,3.8,3,0.6,0.85
50,6,1.0,20,35,5,0.22,0.8,8.0,0.5,0.25,3.2,2.5,0.5,1.00
45,4.5,0.8,16,28,4,0.18,0.65,8.2,0.4,0.2,2.8,2.2,0.4,1.30
40,3.5,0.6,12,22,3.5,0.15,0.55,8.4,0.35,0.18,2.4,1.9,0.35,1.60
35,3,0.5,10,18,3,0.12,0.45,8.6,0.3,0.15,2.0,1.6,0.3,2.10
30,2.5,0.4,8,15,2.5,0.10,0.38,8.8,0.25,0.12,1.7,1.4,0.25,2.80
25,2,0.3,6,12,2,0.08,0.30,9.0,0.20,0.10,1.4,1.2,0.20,3.50
20,1.5,0.2,4,10,1.5,0.06,0.25,9.2,0.15,0.08,1.1,1.0,0.15,4.20
15,1.2,0.15,3,8,1.2,0.05,0.20,9.5,0.12,0.06,0.9,0.8,0.12,5.00
10,1.0,0.1,2,6,1.0,0.04,0.15,9.8,0.10,0.05,0.7,0.6,0.10,6.00